ESTADO_NOTICIA,ETAPA,ANIO_HECHO,DEPARTAMENTO,MUNICIPIO,IMPUTACION,CONDENA,ACUSACION,CAPTURA,SEXO_VICTIMA,GRUPO_EDAD_VICTIMA,PAIS_NACIMIENTO,HOMICIDIO_DOLOSO_CONSUMADO,TOTAL_VICTIMAS
ACTIVO,INDAGACIÓN,2017,Antioquia,MEDELLÍN,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,2
INACTIVO,JUICIO,2016,Bolívar,CARTAGENA,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2015,Quindío,MONTENEGRO,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2017,Antioquia,BELLO,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2019,Valle del Cauca,CALI,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,2
ACTIVO,JUICIO,2015,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2019,Norte de Santander,SARDINATA,SI,SI,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,,SI,1
ACTIVO,JUICIO,2017,Valle del Cauca,YUMBO,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Valle del Cauca,CALI,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,2
ACTIVO,INDAGACIÓN,2020,Bolívar,MOMPÓS,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2017,Sucre,SINCELEJO,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2020,Antioquia,MEDELLÍN,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2019,Cauca,SANTANDER DE QUILICHAO,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Atlántico,BARRANQUILLA,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Bolívar,MAGANGUÉ,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Magdalena,SANTA MARTA,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Quindío,ARMENIA,SI,SI,SI,SI,MASCULINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,SI,SI,SI,MASCULINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2020,Cesar,AGUSTÍN CODAZZI,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2020,Valle del Cauca,CALI,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Nariño,PASTO,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Chocó,RIOSUCIO,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2020,Bolívar,MAHATES,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,INDAGACIÓN,2017,Meta,PUERTO GAITÁN,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
